2025-04-07 23:37:46 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:00 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:09 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:38:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:23 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:23 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:23 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:23 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:23 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:35 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:37 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:37 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:37 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:37 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:37 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:39 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:39 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:39 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:39:39 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:50:33 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:50:33 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:50:33 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:50:33 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-07 23:50:33 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:11 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:11 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:11 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:11 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:12 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:40 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:40 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:40 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:40 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:21:40 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
2025-04-08 01:22:10 - Ambiente: Desenvolvimento, Arquivo: C:\wamp\www\react\govnex\pix-credit-nexus\api/../.env
